bacru	gismu   	-ba'u-		      	x_1 utters x_2
badna	gismu			      	x_1 is a banana fruit or plant of species x_2
badri	gismu   	-dri-		      	x_1 is sad about x_2
bajra	gismu   	-baj-		      	x_1 runs on x_2 using limbs x_3 with gait x_4
bakfu	gismu   	-baf-		      	x_1 is a pack or bundle containing x_2 held together by x_3
bakni	gismu   	-bak-		      	x_1 is a cow or bovine of species x_2
bakri	gismu			      	x_1 is chalk from x_2 in the form of x_3
baktu	gismu			      	x_1 is a pail or bucket containing x_2 made of material x_3
balji	gismu			      	x_1 is a plant bulb of species x_2
balni	gismu			      	x_1 is a balcony or shelf of structure x_2
balre	gismu   	-ba'e-		      	x_1 is a blade of tool or weapon x_2
balvi	gismu   	-bav-		      	x_1 is later than or in the future of x_2
bambu	experimental gismu			      	x_1 is a bamboo of variety x_2
bancu	gismu   	-bac-		      	x_1 is beyond boundary x_2 from x_3 in property or amount x_4
bandu	gismu   	-bad-		      	x_1 defends x_2 from threat x_3
banfi	gismu			      	x_1 is an amphibian of species x_2
bangu	gismu   	-ban-   	-bau-	      	x_1 is a language used by x_2 to communicate x_3
banli	gismu   	-bal-   	-ba'i-	      	x_1 is great in property x_2 by the standard x_3
banro	gismu   	-ba'o-		      	x_1 grows to size or into form x_2 from x_3
banxa	gismu   	-bax-		      	x_1 is a bank owned by x_2 for banking functions x_3
bapli	gismu   	-bap-   	-bai-	      	x_1 forces event x_2 to occur
barda	gismu   	-bra-		      	x_1 is big in property or dimension x_2 as compared to x_3
bargu	gismu   	-bag-		      	x_1 is an arch over or around x_2 of material x_3
barja	gismu			      	x_1 is a bar serving x_2 to customers x_3
barna	gismu   	-ba'a-		      	x_1 is a mark or spot on x_2 of material x_3
bartu	gismu   	-bar-		      	x_1 is outside of x_2
basfa	experimental gismu			      	x_1 is an omnibus for carrying x_2 in medium x_3 propelled by x_4
basna	gismu			      	x_1 emphasizes x_2 by action x_3
basti	gismu   	-bas-		      	x_1 replaces x_2 in circumstance x_3
batci	gismu   	-bat-		      	x_1 bites or pinches x_2 on or at x_3 with x_4
batke	gismu			      	x_1 is a button or knob on x_2 with purpose x_3 of material x_4
bavmi	gismu			      	x_1 is a quantity of barley of species x_2
baxso	gismu			      	x_1 is Malay-Indonesian in aspect x_2
bebna	gismu   	-beb-		      	x_1 is foolish in action or property x_2
bekpi	experimental gismu			      	x_1 is the back/dorsum/'posterior' body-part of x_2
bemro	gismu   	-bem-   	-be'o-	      	x_1 is North American in aspect x_2
bende	gismu   	-bed-   	-be'e-	      	x_1 is a team or crew of persons x_2 led by x_3 for purpose x_4
bengo	gismu   	-beg-		      	x_1 is Bengladesh in aspect x_2
benji	gismu   	-bej-   	-be'i-	      	x_1 transmits x_2 to receiver x_3 from origin x_4 via x_5
bersa	gismu   	-bes-   	-be'a-	      	x_1 is a son of x_2
berti	gismu   	-ber-		      	x_1 is to the northern side of x_2 in reference frame x_3
besna	gismu   	-ben-		      	x_1 is a brain of x_2
betfu	gismu   	-bef-   	-be'u-	      	x_1 is a abdomen or lower trunk of x_2
betri	gismu   	-bet-		      	x_1 is a tragedy for x_2
bevri	gismu   	-bev-   	-bei-	      	x_1 transports or carries x_2 to x_3 from x_4 by path x_5
bidju	gismu			      	x_1 is a bead or pebble made of x_2
bifce	gismu   	-bic-		      	x_1 is a bee or wasp of species x_2
bikla	gismu   	-bik-		      	x_1 whips or lashes
bilga	gismu   	-big-		      	x_1 is obligated to do x_2 by agreement x_3
bilma	gismu   	-bi'a-		      	x_1 is ill or sick with symptoms x_2 from disease x_3
bilni	gismu   	-bil-		      	x_1 is regimented organized by x_2 for purpose x_3
bindo	gismu   	-bid-		      	x_1 is Indonesian in aspect x_2
binra	gismu			      	x_1 insures x_2 against threat x_3 with benefit x_4
binxo	gismu   	-bix-   	-bi'o-	      	x_1 transforms into x_2
birje	gismu			      	x_1 is made of or contains beer or ale brewed from x_2
birka	gismu   	-bir-		      	x_1 is an arm of x_2
birti	gismu   	-bit-		      	x_1 is convinced that x_2 is true
bisli	gismu   	-bis-		      	x_1 is a quantity of ice made of x_2
bitmu	gismu   	-bim-   	-bi'u-	      	x_1 is a wall or fence separating x_2 and x_3 of or in structure x_4
blabi	gismu   	-lab-		      	x_1 is white
blaci	gismu			      	x_1 is a quantity of glass of material x_2
blanu	gismu   	-bla-		      	x_1 is blue
bliku	gismu   	-bli-		      	x_1 is a block of material x_2 with surfaces or sides x_3
bloti	gismu   	-lot-   	-blo-   	-lo'i-      	x_1 is a boat or ship for carrying x_2 propelled by x_3
bluji	experimental gismu			      	x_1 is a pair of jeans / blue jeans
