a	cmavo			      		x ou y (sumti)
a'a	cmavo			      		attentif
a'acu'i	cmavo-compound			      		inattentif
a'anai	cmavo-compound			      		fuyant
abu	bu-letteral			      		lettre « a »
a'e	cmavo			      		vivacité
a'enai	cmavo-compound			      		fatigue
ai	cmavo			      		intention
a'i	cmavo			      		effort
a'icu'i	cmavo-compound			      		pas d'effort
aicu'i	cmavo-compound			      		indécision
ainai	cmavo-compound			      		refus
a'inai	cmavo-compound			      		repos
a'o	cmavo			      		espoir
a'onai	cmavo-compound			      		désespoir
au	cmavo			      		désir
a'u	cmavo			      		interêt
a'ucu'i	cmavo-compound			      		désintérêt
aucu'i	cmavo-compound			      		indifférence
aunai	cmavo-compound			      		dégoût
a'unai	cmavo-compound			      		répulsion
ba	cmavo			      		après marqueur du futur
ba'a	cmavo			      		j'anticipe
ba'acu'i	cmavo-compound			      		j'expérimente
ba'anai	cmavo-compound			      		je me souviens
ba'e	cmavo			      		souligne le prochain mot
bai	cmavo			      		contraint par
ba'i	cmavo			      		remplacé par
bapu	cmavo-compound			      		passé dans le futur
bau	cmavo			      		dans la langue
ba'u	cmavo			      		exagération
ba'ucu'i	cmavo-compound			      		précision
be	cmavo			      		lie un sumti à un sumti
be'a	cmavo			      		au nord de
be'e	cmavo			      		demande la parole
bei	cmavo			      		lie plus de sumti à un sumti
be'i	cmavo			      		envoyé par
be'o	cmavo			      		terminateur de liaison à un sumti
be'u	cmavo			      		manque
be'ucu'i	cmavo-compound			      		présence
be'unai	cmavo-compound			      		satiété
bi	cmavo   	-biv-		      		8
bi'i	cmavo   	-biz-		      		intervalle sans ordre
biki'o	cmavo-compound			      		8000
bimei	cmavo-compound			      		est un octet
bimoi	cmavo-compound			      		8ème
bino	cmavo-compound			      		80
binono	cmavo-compound			      		800
binonovo	cmavo-compound			      		8004
bi'o	cmavo			      		intervalle ordonné
bi'u	cmavo			      		nouvelle information
bi'unai	cmavo-compound			      		ancienne information
boi	cmavo			      		terminateur d'une chaîne de lettres ou de chiffres
bu	cmavo   	-bus-   	-bu'i-	      		converti un mot en lettre
bu'a	cmavo   	-bul-		      		selbri variable 1
bu'e	cmavo			      		selbri variable 2
bu'i	cmavo			      		selbri variable 3
bu'o	cmavo			      		débute une émotion
bu'ocu'i	cmavo-compound			      		continue une émotion
bu'onai	cmavo-compound			      		fini une émotion
bu'u	cmavo			      		au même endroit que
by	cmavo			      		lettre « b »
ca	cmavo			      		pendant
ca'a	cmavo   	-caz-		      		est en cours à l'instant
caca'a	cmavo-compound			      		est à l'instant
caca'o	cmavo-compound			      		est actuellement de façon continue
ca'e	cmavo			      		je définis
cai	cmavo			      		émotion intense
ca'i	cmavo			      		par autorité de
cajeba	cmavo-compound			      		pendant et ensuite
ca ma	cmavo-compound			      		question « quand? »
capu'o	cmavo-compound			      		va bientôt
cau	cmavo			      		vide de
ca'u	cmavo			      		en face de
ce	cmavo   	-cec-		      		avec … dans un ensemble
ce'i	cmavo   	-cez-		      		pourcent
ce'o	cmavo   	-ce'o-		      		avec … dans une séquence
ci	cmavo   	-cib-		      		3
ci'e	cmavo			      		dans le système
ci'i	cmavo			      		infini (nombre)
